"","territory","(Intercept)","forest_pro","tri5","clip_dem","main25m","X2nd25m","cov_build","closest2"
"Kukumaki_2014_w","Kukumaki_2014_w",-0.0349480145308002,0.515534192782533,0.132519932297671,-0.565061288409648,-0.0921059908394129,-0.151724042007352,0.184864460153118,-0.025192344128278
"Bograngen_2003_s","Bograngen_2003_s",0.00492329105213509,-0.10646608137046,0.336573261868611,0.0567547190359197,-0.0196009309364013,-0.0187335138208551,0.239712201892994,0.101786435814072
"Fulufjallet_2009_w","Fulufjallet_2009_w",-0.0309697178291673,0.538586542151043,0.122945749016227,-0.67167889645296,0.696400447741004,-0.0709722357922116,0.260803014096192,-0.0976006561019849
"Glaskogen_2002_s1","Glaskogen_2002_s1",0.0108456968383378,0.296010185812879,-0.254997314403933,0.358038597654209,0.734609285403145,-0.115768984843449,-0.369997027365542,0.437426660166741
"Glaskogen_2002_s2","Glaskogen_2002_s2",-0.00919343742962553,0.393035820141919,0.132933819915134,-0.338735822533882,0.478269687768713,-0.108055001950998,0.335362715592291,-0.141634301007255
"Glaskogen_2002_s3","Glaskogen_2002_s3",-0.0643100511838621,0.564218937301695,0.330776071483688,0.823931626951951,-0.495892723041457,0.292244468510392,-0.196599728256159,0.163602709539201
"Kukumaki_2015_w","Kukumaki_2015_w",-0.0023477541931999,0.154217259771266,0.5100093423188,-0.474754981968078,0.0679737996710094,-0.185909989526501,-0.0134756940791546,0.136621395815545
"Kukumaki_2015_s","Kukumaki_2015_s",-0.0295533543392277,0.35390960628954,0.260271616909618,0.30803605154327,0.253372064402921,-0.137633122288397,0.129855541356866,0.284501626665006
"Aspafallet_2015_w","Aspafallet_2015_w",0.0050867212058169,0.280287769571401,0.28047782695062,-0.099947625846371,0.120344021741432,0.00479934660423947,0.228754536697955,0.401282601392499
"Aspafallet_2015_s","Aspafallet_2015_s",0.00523123107529131,0.356128672306703,-0.151195699328112,0.00204891097748189,-0.104390619439185,0.11964659900223,0.60078203596637,0.167469407958873
