"","territory","(Intercept)","forest_pro","tri5","clip_dem","main25m","X2nd25m","cov_build","closest2"
"Fulufjallet_2010_w","Fulufjallet_2010_w",-0.101061411506694,0.453233875241809,0.328066752321524,-1.11151898765874,0.14012075403947,-0.0201405290160463,-0.0386700428848794,0.356564163041757
"Fulufjallet_2010_s","Fulufjallet_2010_s",-0.0466967366829266,0.613762810297537,-0.00792503283850754,0.668946735971622,-0.777433075408504,-0.491129411175987,-0.64080897654955,1.62407569684909
"Tandsjon_2012_w","Tandsjon_2012_w",-0.0164750429362402,0.48527464505628,-0.0103116593615871,-0.390223419124656,-0.199471825915928,0.0410378904753568,-0.203583515989962,0.234080024391597
"Tandsjon_2012_s","Tandsjon_2012_s",-0.380959468316818,0.204222103211491,-0.350941595790604,0.128955201072146,-1.39673218258303,-1.63747129249669,-2.027100512492,2.93144616264035
"Tenskog_2011_w","Tenskog_2011_w",0.0235997455593527,0.111347709160149,1.02432591980905,-0.519464472433542,0.0290923031211756,-0.0699540839458447,0.196097276528055,0.0483631311533267
"Tenskog_2011_s","Tenskog_2011_s",-0.00214839746716751,0.324675719496676,0.98269192014649,0.192338919542743,0.249606217384465,-0.167184256718997,-0.445894948728917,0.20082224539121
"Kukumaki_2013_w","Kukumaki_2013_w",-0.0609978638566401,0.19399110662555,0.351786151813174,-1.24282232908699,0.647906309441292,-0.240933691322376,-0.416441063726971,0.306491348613565
"Tyngsjo_2002_w","Tyngsjo_2002_w",0.00839518308682342,0.229712939620418,0.136069045854926,0.0360819350057778,0.493213801138657,0.2244247134341,0.53320486848895,-0.266111434769999
"Bograngen_2003_w","Bograngen_2003_w",0.00154823871716877,0.0455882821330535,0.327228702380395,-0.282359807076073,-0.0512121744639998,0.354288328082026,-0.169332680718606,0.385379851212877
"Grafjell_2001_w","Grafjell_2001_w",0.0118257484986665,0.0417595257169442,1.1206947898782,-1.41083569118425,0.0438985588210387,0.349927576632641,-0.832901972988793,1.0689830096499
"Grafjell_2003_w","Grafjell_2003_w",-0.143375997389266,-0.0590881281242716,0.31517843009192,-1.40019006889375,-0.0400095500783511,-0.0122765130725844,0.373396117409023,-0.128308431945888
"Grafjell_2003_s","Grafjell_2003_s",0.0136173018765202,-0.388815055530522,0.908614636442386,0.407503040770246,0.436864215242203,-0.0411219088501542,0.405369753050175,-0.368007449833838
"Djurskog_2004_s","Djurskog_2004_s",-0.0221178273456168,0.381860151945966,0.233381766462294,-0.0429502398995273,0.548780430525576,0.0972606738381852,-0.830271266659987,0.769640362047891
"Koppang_2004_s","Koppang_2004_s",-0.106093873760672,0.159728180060769,0.116056668326407,0.00933407917856716,1.10769099522665,0.61846818586111,-1.39224010050714,1.59072672638696
"Ulriksberg_2007_w","Ulriksberg_2007_w",-0.000397872654662892,0.191752760646401,0.25779548910691,-0.456451769474275,-0.0875788428552606,-0.0341073597918877,0.538228294480791,-0.265091311561718
"Grasmark_2007_w","Grasmark_2007_w",-0.00926942450366973,0.13246391379491,0.0851559277319548,-0.12941896751872,0.0214076081762943,-0.465494879420526,0.159093479717937,0.17746050331223
"Kloten_2009_s","Kloten_2009_s",-0.0590036008206377,0.263622242037122,-0.572328061228019,0.539864902426126,-0.0910164479375309,-0.015762672904565,-0.591591443747859,0.896657985138465
"Hasselfors_2003_w","Hasselfors_2003_w",-0.0403951511829566,0.556407995998187,-0.0858645415026802,0.358900155829214,0.312094852997454,-0.256209222987698,0.385216558174188,-0.307379154261144
"Grafjell_2004_s","Grafjell_2004_s",-0.0248245940046044,0.266162073512006,-0.740315373533664,-0.249217430030492,0.099095541962707,-0.415577372991819,-0.688006847101867,1.45247967267462
"Halgan_2003_s","Halgan_2003_s",0.00126628730608148,0.241419781080428,0.100437922916715,-0.0774774385347989,-0.182428597590698,0.347702686459274,-0.129480623573308,0.546039984988955
