"","territory","(Intercept)","forest_pro","tri5","clip_dem","main25m","X2nd25m","cov_build","closest"
"Fulufjallet_2010_w","Fulufjallet_2010_w",-0.114270329013949,0.450214199252535,0.348563208310745,-1.15156682534897,0.256094908251669,-0.279132084033223,0.161519297551666,0.304651602081959
"Fulufjallet_2010_s","Fulufjallet_2010_s",-0.0528169877446469,0.585506662350588,0.132098911058074,0.603980248060562,-0.348730971802732,-0.920130564619395,0.439828298646907,0.491664389148026
"Tandsjon_2012_w","Tandsjon_2012_w",-0.0145727045551131,0.483116296132314,-0.00974098558962708,-0.382273687337162,-0.148551444224367,-0.0401354390792898,-0.0283847911574867,0.0909638495335455
"Tandsjon_2012_s","Tandsjon_2012_s",-96.2764053881058,0.18956635624391,-0.098036887490295,0.0773454356547082,-0.590732574570338,-872.791953647588,0.454495755334615,773.284045647471
"Tenskog_2011_w","Tenskog_2011_w",0.00766764804278939,0.124176778185971,0.983698184986981,-0.529401452959225,-0.00132840648478595,-0.467641605048398,0.190599753249071,0.442675471283297
"Tenskog_2011_s","Tenskog_2011_s",0.00376270310981211,0.317121092830947,0.993318850051013,0.211403768308278,0.314996408868705,-0.0706649125554937,-0.259718357815265,-0.120477801546274
"Kukumaki_2013_w","Kukumaki_2013_w",-0.0598013835574667,0.195252307666999,0.364033472970137,-1.246701452128,0.688487419348526,-0.265830888152924,-0.14084733189669,0.0328374066632426
"Tyngsjo_2002_w","Tyngsjo_2002_w",-7.74204161366172e-05,0.240163339366959,0.15372685448826,-0.00888309865082437,0.316966692181314,-0.308878470407678,0.292859246976621,0.616720792781253
"Bograngen_2003_w","Bograngen_2003_w",0.00293817243746164,0.076854095921855,0.317905846564043,-0.296796934980234,-0.0227890620052514,-0.0444271314256072,0.015572929048981,0.546166955711572
"Grafjell_2001_w","Grafjell_2001_w",0.0156373856080601,0.0323940185113696,1.07292144379882,-1.35610213788975,0.148259480823984,0.262984711182301,0.120216851839113,0.0518409243706877
"Grafjell_2003_w","Grafjell_2003_w",-0.158074269347963,-0.0323858812674181,0.351684930950258,-1.43333790460965,-0.11624841700156,-0.230015636233989,0.124845599701668,0.392899170753103
"Grafjell_2003_s","Grafjell_2003_s",0.0199362129162056,-0.351255100757373,0.884677587149896,0.407465983722247,0.37514487637653,-0.506542662074354,-0.197154819882797,0.733261369464774
"Djurskog_2004_s","Djurskog_2004_s",-0.00542090067410143,0.398040002199321,0.218385965088372,-0.0506937008746707,0.632910758234639,0.352485408583522,0.0380082864370962,-0.352831312665708
"Koppang_2004_s","Koppang_2004_s",-0.0852466470265849,0.16441971016013,0.105963815906756,0.0547741996127758,1.16082431848242,0.648007139349559,0.203053620378302,-0.116531727055848
"Ulriksberg_2007_w","Ulriksberg_2007_w",-0.0044495660877813,0.188364789116199,0.249773759243138,-0.457113081161789,-0.220936618265464,-0.066206058275597,0.359011905960497,0.0439991396385831
"Grasmark_2007_w","Grasmark_2007_w",-0.0206863751198669,0.131108357743095,0.0802655373631855,-0.131372702565276,0.0181126602409391,-0.745934826731073,0.264638658903946,0.314539233029327
"Kloten_2009_s","Kloten_2009_s",-0.0503585937483296,0.265907169762417,-0.601173615656651,0.559537852992155,0.118911441300036,-0.155571473119572,0.100613161759663,0.175170326002538
"Hasselfors_2003_w","Hasselfors_2003_w",-0.0476276056360182,0.562985106700969,-0.0952450658390238,0.356759527911545,0.244744134447412,-0.802992917479075,0.0765357286292832,0.578294119290827
"Grafjell_2004_s","Grafjell_2004_s",-0.0524554134479945,0.305045413778572,-0.732886439155313,-0.169601967216813,0.116996374716266,-1.19687403700344,0.528903111912905,0.879698179430753
"Halgan_2003_s","Halgan_2003_s",0.00224136348579144,0.223625610259843,0.0922528600742432,-0.0253492422157271,0.0436256750696477,0.477824420192314,0.290105265987289,-0.163500853131883
"Djurskog_2004_w","Djurskog_2004_w",-0.00727508746482363,0.020684046857548,0.140106410239996,0.0251443241812368,0.0958576197575252,-0.481579875275369,0.00595143452820172,0.366118428226153
"Uttersberg_2005_s","Uttersberg_2005_s",-0.0175986408664661,0.345004460068402,0.0579126848981999,0.136987955139226,0.218545515610026,-0.0299029189746266,0.442792186616473,0.143403315756088
"Uttersberg_2005_w","Uttersberg_2005_w",-0.0167353044695514,0.515985949173857,0.240319391622353,-0.31326196722286,-0.0248188850290382,-0.275538615077702,0.0966058904572002,0.600660495733691
"Uttersberg_2006_w","Uttersberg_2006_w",-0.00794631517482632,0.370265173061407,-0.0275479945891711,-0.141544604933229,-0.238531258798041,-0.462161766178177,-0.288666496538079,0.743553188258349
