winter	year	nb_in_report	nb_in_fig1	social_status	territory	county	country	NA	X	Y	name_in_Olof_file	ID_M	ID_F	F	abreviation_pedigree	date_collaring_M	date_collaring_F	marked_date_M	Last_radio_contact_M	marked_date_F	Last_radio_contact_F	territory	ID_M	ID_F	F	abreviation_pedigree	Birth_territory_male	Birth_territory_female	Birth_date_male	birth_date_female	F_male	F_female	Birth_date_male_(Olle)	birth_date_female_(Olle)	Komment	Death_Causes	ID_of_the_dead_one	Management_decisions_	Turnover_during_the_winter	Year_of_established_pairing	Left	Repr_ngn_gang	repro(green_color)_	First_litter	digit_min	digit_max	First_repro_(yellow)	Pair(letterP)	Blood_(b)_	Radio_collar(red)	pair_intact_end_winter_	Immigrants_status	Line	remarks																																																									
2011/12	2011	NA	3	pack	Aurskog	Akershus	N	NA	6652721	314151	Aurskog_2	G69-10	G75-10	0.2542	Aur1	NA	NA	NA	NA	NA	NA	Aurskog_1	G69-10	G75-10	0.254242	Aur1	Ulr2	DE5	NA	NA	0.214844	0.256958	NA	NA	NA	0	0	0	1	2010	2	0	1	1	NA	NA	NA	NA	NA	NA	NA																																																												
2011/12	2011	NA	47	scent_marking_pair	Bjornas	Dalarna	S	1112	6750738	546780	Bjornas	G50-12	G88-11	0.41345	Bjas	NA	NA	NA	NA	NA	NA	Bjornas	G50-12	G88-11	0.41345	Bjas	Sjo	Kors1	NA	NA	0.413452	0.223389	2010	NA	NA	0	0	0	0	2011	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA																																																												
2007/08	2007	4.3.20.	41	scent_marking_pair	Bogen	Varmland/Hedmark	NS	0708	6643061	366323	Bogen_1	D-11-29	D-08-02	0.255512	Bog1	NA	NA	NA	NA	NA	NA	Bogen_1	D-11-29	D-08-02	0.255512	Bog1	Gra1	Ulr2	NA	NA	0.267578	0.214844	NA	NA	NA	Culling	D-08-02	F	0	2007	2	0	0	NA	0	0	0	1	0	0	0			Tiken_D08-02_a_été_abattu_le_8_janvier_08																																																									
2008/09	2008	4.3.8.	36	scent_marking_pair	Bogen	Varmland	S	0809	6631044	370300	Bogen_2	D-11-29	G18-09	0.2778	Bog2	NA	NA	NA	NA	NA	NA	Bogen_2	D-11-29	G18-09	0.2778	Bog2	Gra1	Jang3	NA	NA	0.267578	0.314453	NA	NA	NA	0	0	0	0	2008	NA	0	0	NA	0	0	0	1	0	0	1			"New_couple_male_G23-08,_G18-09_female"																																																									
2009/10	2009	4.3.18.	46	scent_marking_pair	Mangskog	Varmland	S	0910	6638962	376899	Bogen_2	D-11-29	G18-09	0.277832	Bog2	NA	NA	NA	NA	NA	NA	Bogen_2	D-11-29	G18-09	0.277832	Bog2	Gra1	Jang3	NA	NA	0.267578	0.314453	NA	NA	NA	0	0	0	0	2008	2	0	2	?	NA	NA	NA	NA	NA	NA	NA																																																												
2010/11	2010	4.3.20.	51	scent_marking_pair	Mangskog	Varmland	S	1011	6637297	375615	Bogen_3	D-11-29	D-11-27	0.44433	Bog3	NA	NA	NA	NA	NA	NA	Bogen_3	D-11-29	D-11-27	0.44433	Bog3	Gra1	Gra1	NA	2007	0.267578	0.267578	NA	NA	NA	hunting_license	D-11-29	MF	0	2010	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA																																																												
1997/98	1997	NA	NA	scent_marking_pair	Bograngen	Varmland/Hedmark	NA	NA	NA	NA	Bograngen	M-00-09	M-00-11	0.3125	Bog	2000-02-03	2000-02-03	2000-02-02	2005-11-16	2000-02-02	2003-02-25	Bograngen	M-00-09	M-00-11	0.3125	Bog	Fre	Ny4b	NA	1989	0.125	0.375	NA	NA	NA	0	0	0	0	1997	NA	1	0	NA	NA	NA	NA	NA	NA	NA	NA																																																												
1998/99	1998	NA	NA	scent_marking_pair	Bograngen	Varmland/Hedmark	S	NA	6737321	367605	Bograngen	M-00-09	M-00-11	0.3125	Bog	2000-02-03	2000-02-03	2000-02-02	2005-11-16	2000-02-02	2003-02-25	Bograngen	M-00-09	M-00-11	0.3125	Bog	Fre	Ny4b	NA	1989	0.125	0.375	NA	NA	NA	0	0	0	0	1997	NA	1	0	NA	2	2	0	NA	NA	NA	NA																																																												
1999/00	1999	NA	3	pack	Bograngen	Varmland/Hedmark	NS	NA	6741526	364335	Bograngen	M-00-09	M-00-11	0.3125	Bog	2000-02-03	2000-02-03	2000-02-02	2005-11-16	2000-02-02	2003-02-25	Bograngen	M-00-09	M-00-11	0.3125	Bog	Fre	Ny4b	NA	1989	0.125	0.375	NA	NA	NA	0	0	0	0	1997	NA	1	1	1	4	4	1	0	1	1	1																																																												
2000/01	2000	NA	4	pack	Bograngen	Varmland/Hedmark	NS	NA	6742065	365379	Bograngen	M-00-09	M-00-11	0.3125	Bog	2000-02-03	2000-02-03	2000-02-02	2005-11-16	2000-02-02	2003-02-25	Bograngen	M-00-09	M-00-11	0.3125	Bog	Fre	Ny4b	NA	1989	0.125	0.375	NA	NA	NA	0	0	0	0	1997	NA	1	0	NA	3	3	0	0	1	1	1																																																												
2001/02	2001	_4.3.2	13	scent_marking_pair	Bograngen	Varmland/Hedmark	NS	0102	6751854	361408	Bograngen	M-00-09	M-00-11	0.3125	Bog	2000-02-03	2000-02-03	2000-02-02	2005-11-16	2000-02-02	2003-02-25	Bograngen	M-00-09	M-00-11	0.3125	Bog	Fre	Ny4b	NA	1989	0.125	0.375	NA	NA	NA	0	0	0	0	1997	NA	1	0	NA	0	0	0	1	0	1	1																																																												
2002/03	2002	4.3.2.	10	scent_marking_pair	Bograngen	Varmland/Hedmark	NS	0203	6748374	364337	Bograngen	M-00-09	M-00-11	0.3125	Bog	2000-02-03	2000-02-03	2000-02-02	2005-11-16	2000-02-02	2003-02-25	Bograngen	M-00-09	M-00-11	0.3125	Bog	Fre	Ny4b	NA	1989	0.125	0.375	NA	NA	NA	Age	M-00-11	F	0	1997	NA	1	0	NA	0	0	0	1	0	1	0																																																												
2009/10	2009	4.4.7.	NA	scent_marking_pair	Brattfors	NA	S	0910	6620950	434512	Brattfors	G28-09	G9-09	0.2778	Bratt	NA	NA	NA	NA	NA	NA	Brattfors	G28-09	G9-09	0.277832	Bratt	Jang3	Gra1	NA	NA	0.314453	0.267578	NA	NA	NA	0	0	0	0	2009	NA	1	0	NA	0	0	0	1	0	0	1			"A_little_unclear_if_it_is_a_couple,_it_was_formed_late."																																																									
2010/11	2010	NA	28	pack	Brattfors	NA	S	NA	6620950	434512	Brattfors	G28-09	G9-09	0.2778	Bratt	NA	NA	NA	NA	NA	NA	Brattfors	G28-09	G9-09	0.277832	Bratt	Jang3	Gra1	NA	NA	0.314453	0.267578	NA	NA	NA	0	0	0	0	2009	NA	1	1	1	6	6	1	0	0	0	1																																																												
2011/12	2011	NA	27	pack	Brattfors	NA	S	NA	6621392	437844	Brattfors	G28-09	G9-09	0.2778	Bratt	NA	NA	NA	NA	NA	NA	Brattfors	G28-09	G9-09	0.277832	Bratt	Jang3	Gra1	NA	NA	0.314453	0.267578	NA	NA	NA	0	0	0	0	2009	NA	1	1	0	7	7	0	0	0	0	1			3_new_puppies_identified_in_K2-12																																																									
2007/08	2007	4.3.17.	38	scent_marking_pair	Bredfjallet	VastraGotaland	S	0708	6444093	325730	Bredfjallet_1	D-08-15	G17-08	0.2900	Bre1	NA	NA	NA	NA	NA	NA	Bredfjallet_1	D-08-15	G17-08	0.290039	Bre1	Ny5	DE2	NA	NA	0.269531	0.398438	NA	NA	NA	0	0	0	0	2007	NA	1	0	NA	0	0	0	1	0	0	1																																																												
2008/09	2008	NA	28	pack	Bredfjallet	NA	S	NA	6464154	329916	Bredfjallet_1	D-08-15	G17-08	0.2900	Bre1	NA	NA	NA	NA	NA	NA	Bredfjallet_1	D-08-15	G17-08	0.290039	Bre1	Ny5	DE2	NA	NA	0.269531	0.398438	NA	NA	NA	Culling	D-08-15	M	0	2007	1	1	1	1	4	5	1	0	0	0	0			The_male_culling_in_August-08._Tiken_no_new_partner_during_winter																																																									
2009/10	2009	NA	28	pack	Bredfjallet	NA	S	NA	6441693	319915	Bredfjallet_2	G53-10	G17-08	0.2642	Bre2	NA	NA	NA	NA	NA	NA	Bredfjallet_2	G53-10	G17-08	0.26416	Bre2	Sil	DE2	NA	NA	0.227051	0.398438	NA	NA	NA	0	0	0	0	2008	NA	1	1	1	5	7	0	0	1	0	1																																																												
1998/99	1998	NA	10	scent_marking_pair	Bracke	Jamtland/Vasternorrland	S	9899	6939528	508398	NA	NA	NA	NA	Bra	NA	NA	NA	NA	NA	NA	Bracke	NA	NA	NA	Bra	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	1997	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA																																																												
2011/12	2011	NA	59	scent_marking_pair	Balen	Varmland	S	1112	6596106	445007	NA	G104-11	G49-11	0.28668	Ksk	NA	NA	NA	NA	NA	NA	Balen	G104-11	G49-11	0.28668	Ksk	Kyn2	Kyn2	2010	NA	0	0	NA	NA	NA	0	0	0	0	2011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																												
2007/08	2007	NA	21	pack	Dals_Ed_sodra	NA	S	NA	6514531	315960	Kynnefjall_1_(DalsEd_sodra)	D-11-26	G5-09	0.2954	Kyf1	NA	NA	NA	NA	NA	NA	Kynnefjall_1_(DalsEd_sodra)	D-11-26	G5-09	0.29541	Kyf1	Gra1	DE4	2007	2006	0.267578	0.290039	NA	NA	NA	0	0	0	0	2007	0	1	0	NA	2	3	0	1	0	0	1																																																												
2008/09	2008	4.3.10.	38	scent_marking_pair	Dals_Ed_sodra	V_Gotaland	S	0809	6518946	317016	Kynnefjall_1_(DalsEd_sodra)	D-11-26	G5-09	0.2954	Kyf1	NA	NA	NA	NA	NA	NA	Kynnefjall_1_(DalsEd_sodra)	D-11-26	G5-09	0.29541	Kyf1	Gra1	DE4	2007	2006	0.267578	0.290039	NA	NA	NA	0	0	0	0	2007	0	1	0	NA	0	0	0	1	1	0	1																																																												
2009/10	2009	NA	7	pack	Kynnefjall	NA	NS	NA	6524442	308344	Kynnefjall_1_(DalsEd_sodra)	D-11-26	G5-09	0.2954	Kyf1	NA	NA	NA	NA	NA	NA	Kynnefjall_1_(DalsEd_sodra)	D-11-26	G5-09	0.29541	Kyf1	Gra1	DE4	2007	2006	0.267578	0.290039	NA	NA	NA	0	0	0	0	2007	1	1	1	1	6	6	1	0	1	0	1																																																												
1998/99	1998	NA	4	pack	Dals-Ed-Halden	NA	S	NA	6534472	314295	Dals_Ed-Halden_1	NA	NA	NA	DE1	NA	NA	NA	NA	NA	NA	Dals_Ed-Halden_1	NA	NA	NA	DE1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	1996	NA	1	2	0	5	7	0	0	0	0	1																																																												
1999/00	1999	NA	5	pack	Dals_Ed-Halden	NA	NS	NA	6542754	315316	Dals_Ed-Halden_1	NA	NA	NA	DE1	NA	NA	NA	NA	NA	NA	Dals_Ed-Halden_1	NA	NA	NA	DE1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	1996	NA	1	1	0	5	5	0	0	1	0	1																																																												
2000/01	2000	NA	7	pack	Dals_Ed-Halden	NA	NS	NA	6536730	313571	Dals_Ed-Halden_1	NA	NA	NA	DE1	NA	NA	NA	NA	NA	NA	Dals_Ed-Halden_1	NA	NA	NA	DE1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	1996	NA	1	2	0	3	3	0	0	1	0	1																																																												
2001/02	2001	NA	5	pack	Dals_Ed-Halden	NA	NS	NA	6544700	313223	Dals_Ed-Halden_2	M-02-08	M-03-07	0.3984	DE2	2002-01-26	2003-03-06	2002-01-26	2003-05-12	2003-03-06	2003-11-10	Dals_Ed-Halden_2	M-02-08	M-03-07	0.398438	DE2	Kop1	Kop1	1999	NA	0.234375	0.234375	NA	NA	NA	0	0	0	0	2001	NA	1	0	NA	3	3	0	0	1	1	1																																																												
2002/03	2002	NA	4	pack	Dals_Ed-Halden	NA	NS	NA	6532865	311183	Dals_Ed-Halden_2	M-02-08	M-03-07	0.3984	DE2	2003-03-06	2003-03-06	2002-01-26	2003-05-12	2003-03-06	2003-11-10	Dals_Ed-Halden_2	M-02-08	M-03-07	0.398438	DE2	Kop1	Kop1	1999	NA	0.234375	0.234375	NA	NA	NA	0	0	0	0	2001	NA	1	1	1	3	7	0	0	0	1	1																																																												
2003/04	2003	NA	5	pack	Dals_Ed-Halden	NA	NS	NA	6535580	312986	Dals_Ed-Halden_2	M-02-08	M-03-07	0.3984	DE2	2003-03-06	2003-03-06	2002-01-26	2003-05-12	2003-03-06	2003-11-10	Dals_Ed-Halden_2	M-02-08	M-03-07	0.398438	DE2	Kop1	Kop1	1999	NA	0.234375	0.234375	NA	NA	NA	Emergency	M-02-08	M	0	2001	1	1	1	0	5	6	0	0	1	1	1			"The_male_M02-08_was_shot_May_03,_but_the_winter_of_03-04_was_again_an_marking_couples"																																																									
2004/05	2004	NA	4	pack	Dals_Ed-Halden	NA	NS	NA	6525059	310657	Dals_Ed-Halden_3	D-04-14	M-03-07	0.2832	DE3	NA	2003-03-06	NA	NA	2003-03-06	2003-11-10	Dals_Ed-Halden_3	D-04-14	M-03-07	0.283203	DE3	arj	Kop1	2000	NA	0.234375	0.234375	NA	NA	NA	Train	D-04-14	M	0	2003	1	1	1	1	7	0	0	0	1	0	0																																																												
2005/06	2005	4.3.3.	18	scent_marking_pair	Dals_Ed-Halden	Vastra_Gotaland/ostfold	NS	0506	6526955	309254	Dals_Ed-Halden_4	G11-06	M-03-07	0.2900	DE4	NA	2003-03-06	NA	NA	2003-03-06	2003-11-10	Dals_Ed-Halden_4	G11-06	M-03-07	0.290039	DE4	Ny5	Kop1	NA	NA	0.269531	0.234375	NA	NA	NA	0	0	0	0	2005	NA	1	0	NA	0	0	0	1	1	0	0																																																												
2006/07	2006	NA	4	pack	Dals_Ed-Halden	NA	NS	NA	6538530	309647	Dals_Ed-Halden_4	G11-06	M-03-07	0.2900	DE4	NA	2003-03-06	NA	NA	2003-03-06	2003-11-10	Dals_Ed-Halden_4	G11-06	M-03-07	0.290039	DE4	Ny5	Kop1	NA	NA	0.269531	0.234375	NA	NA	NA	0	0	0	0	2005	0	1	1	1	7	11	0	0	0	0	1																																																												
2007/08	2007	4.3.4.	25	scent_marking_pair	Dals_Ed-Halden	ostfold/Vastra_Gotaland	NS	0708	6543143	308855	Dals_Ed-Halden_5	G28-07	G1-08	0.2570	DE5	NA	NA	NA	NA	NA	NA	Dals_Ed-Halden_5	G28-07	G1-08	0.256958	DE5	Sil	DE4	NA	2006	0.227051	0.290039	2006	NA	NA	0	0	0	0	2007	NA	1	0	NA	0	0	0	1	0	0	1																																																												
2008/09	2008	NA	4	pack	Dals_Ed-Halden	NA	NS	NA	6546904	309155	Dals_Ed-Halden_5	G28-07	G1-08	0.2570	DE5	NA	NA	NA	NA	NA	NA	Dals_Ed-Halden_5	G28-07	G1-08	0.256958	DE5	Sil	DE4	NA	2006	0.227051	0.290039	2006	NA	NA	0	0	0	0	2007	NA	1	1	1	4	5	1	0	1	0	1																																																												
2009/10	2009	NA	6	pack	Dals_Ed-Halden	NA	NS	NA	6547927	308424	Dals_Ed-Halden_5	G28-07	G1-08	0.2570	DE5	NA	NA	NA	NA	NA	NA	Dals_Ed-Halden_5	G28-07	G1-08	0.256958	DE5	Sil	DE4	NA	2006	0.227051	0.290039	2006	NA	NA	0	0	0	0	2007	NA	1	1	0	7	9	0	0	1	0	1																																																												
2010/11	2010	NA	6	pack	Dals_Ed-Halden	NA	NS	NA	6540315	308825	Dals_Ed-Halden_5	G28-07	G1-08	0.2570	DE5	NA	NA	NA	NA	NA	NA	Dals_Ed-Halden_5	G28-07	G1-08	0.256958	DE5	Sil	DE4	NA	2006	0.227051	0.290039	2006	NA	NA	0	0	0	0	2007	NA	1	1	0	7	7	0	0	0	0	1			"Acc_Jimmy_Carlsson_was_the_male_G28-07_last_nd_time_in_Jan-11._Then_there_was_the_bitch_alone_until_March,_when_a_new_male_appeared._See_Dals-Ed_6."																																																									
