"","X","ID_individual","ID","ID_rand","Sex","x","y","Category","Year","human_1","humanlands_1","agri_1","forest_1","mires_1","water_1","mountains_1","roadens_sec1","mainroad_1","bear_1","dem_1","slope_1","roughness_1","roadbuild_1","moose_dens","Clusters","wolf_density","dist"
"1",1,"D-01-18",221,1,"M",376690.474545512,6856618.70721229,"Available",1998,1.027,0.00967936387139481,0.00167273519319733,0.784199690205217,0.149619002002102,0.0368507100671691,0.0180387850152881,0.357591023603519,0.148558181996927,0.428408622535358,624.252873324119,2.63423464327396,24.6333046772376,18.1433329386998,0.131887672114,4,0,271554.496324403
"2",2,"D-01-18",221,2,"M",385655.129558341,6789294.96622483,"Available",1998,2.3954447875173,0.0166515948094633,0.00621746752865985,0.754143878341447,0.119879095488489,0.0101751549158438,0.0929209394113066,0.486517885563486,0.223066085272678,0.334900733868014,557.098208409882,4.12986577518531,38.5944126528273,46.8584567161433,0.199186533670546,1,0,271554.496324403
"3",3,"D-01-18",221,3,"M",342461.078172526,6863255.43349655,"Available",1998,0.725018177469626,0.000202192483027064,0.00947084563592492,0.565405153177648,0.215449952155727,0.0825761283482913,0.127400458181757,0.253103585932441,0.120705042030133,0.228419718221247,745.98041210323,3.169925613373,29.4562391134554,11.738537130115,0.0909228073874185,1,0,271554.496324403
"4",4,"D-01-18",221,4,"M",531300.568710007,6640191.06241208,"Available",1998,12.8845710749253,0.0146622977726866,0.0526239406432375,0.811732534042158,0.0365212533948595,0.0840938860237787,0,1.08363790107561,0.342412082210362,0.0352874942836786,185.066167654479,2.21169215976678,22.0767627220997,47.9173738940765,0.184488169466147,2,0,271554.496324403
"5",5,"D-01-18",221,5,"M",600606.897882289,6764870.44992556,"Available",1998,24.5482890729834,0.0159990012669009,0.0596780332061554,0.796742167455427,0.0293635950146697,0.097412614044486,0,1.05954647918264,0.195097307249954,0.293718528589145,87.5608936989435,1.27146689360897,12.773172967102,66.7665536009057,0.20310817602634,2,0,271554.496324403
"6",6,"D-01-18",221,6,"M",291200.239585637,6770230.71585593,"Available",1998,32.76627746555,0.00308049919408204,0.0418178504575486,0.727748366273811,0.181536883746451,0.00625189412998338,0.039852361042676,0.648431487336665,0.357541453326118,0.0579445348287751,526.218274598874,3.51452682605672,32.5999882939598,18.8868655561563,0.307319307419986,6,0,271554.496324403
"7",7,"D-01-18",221,7,"M",413261.130758019,6871674.8142087,"Available",1998,0.958228400211641,0.00545800748027251,0.00198168269906781,0.523478609220157,0.240485807316163,0.0209319503245324,0.207723622830353,0.33350598013721,0.073552538594207,0.693270282968104,717.192258417685,2.81562884198987,26.3181435968331,29.6356527379693,0.129085464113234,1,0,271554.496324403
"8",8,"D-01-18",221,8,"M",453008.012019545,6566399.56934673,"Available",1998,28.7823480848808,0.0301209653491774,0.109813868565334,0.581575063389861,0.0495359646487791,0.228863640966608,0,0.988258534193039,0.312696062218233,0.00128846697551735,90.2602554400131,0.981037479361845,9.76771341512222,127.177595012419,0.299109672536598,3,0,271554.496324403
"9",9,"D-01-18",221,9,"M",413117.190224853,6659158.70382176,"Available",1998,6.97645901982774,0.0175045669195173,0.067558258278396,0.790574421677969,0.0427288372161162,0.081534007303941,0,0.979385485699227,0.315648105996081,0.0371164437169483,212.007317018013,3.2263715091796,30.7703460484285,65.6617118837135,0.355303931108897,6,1,271554.496324403
"10",10,"D-01-18",221,10,"M",375585.480966788,6770583.41012767,"Available",1998,2.54630145326029,0.00272213293287646,0.0079391158046006,0.80258353920091,0.143580329791806,0.0426757257380937,0.000157607812950985,0.582766333451638,0.213889941027448,0.229319918511078,457.541392840339,3.39514211140681,32.0523352595059,8.81150097065381,0.282697627366899,5,1,271554.496324403
