"","X","ID","moose1998_dens","moose1999_dens","moose2000_dens","moose2001_dens","moose2002_dens","moose2003_dens","moose2004_dens","moose2005_dens","moose2006_dens","moose2007_dens","moose2008_dens","moose2009_dens","moose2010_dens","moose2011_dens","human_1","humanlands_1","agri_1","forest_1","mires_1","water_1","mountains_1","roadens_sec1","mainroad_1","bear_1","dem_1","slope_1","roughness_1","roadbuild_1","build_1","Category","ID_individual","Year","Sex","x","y"
"331",166,166,0.154760004591928,0.160135247074998,0.184785510347179,0.16585687391797,0.20890131700617,0.20648948672741,0.189621805132429,0.186540408414297,0.171337044832729,0.180255742666318,0.179398111823085,0.176037783895295,0.171025283790141,0.249634488762743,2.63652394093969,0.0144773138207511,0.0161325468072335,0.693782721497925,0.222040107846934,0.0319548662361303,0.0217052129542636,0.60343436396122,0.238838553560898,0.377931307544049,498.598207211785,2.73830297708152,26.0629730981311,33.4291473092789,2.25323728928542,"Established","G17-13",2011,"F",411726,6765558
"332",166,166,0.17347486489552,0.180633286590339,0.205195846713281,0.186119749647131,0.209652380841815,0.20600076052458,0.193362105139439,0.175166757506086,0.158870875374252,0.143736036503879,0.123048865942106,0.11749341956692,0.125314427880299,0.238158618650575,6.81717095134334,0.00272719380858185,0.00221102155541075,0.835538141808334,0.0851803649856385,0.07416826537131,0,0.999656629000408,0.212876729004433,0.411747681288175,338.650216143151,2.89701263072936,28.1943575055724,12.3239310524381,2.03925169511878,"Natal","G17-13",2011,"F",462200,6736421
"333",167,167,0.130362527167769,0.127185772746561,0.132660624617628,0.133840790228593,0.146750892690191,0.153875191700847,0.145984186616631,0.123800839069025,0.109262809955588,0.103392680959844,0.101765632510276,0.105864217061476,0.11052031804487,0.0945522036083776,0.990834589309585,0.00212383051268893,0.00103839964578763,0.524316414392914,0.269779940846773,0.00673320556961794,0.196192757390803,0.332608503159937,0.0952224406003109,0.666024932488104,679.619894608238,2.3102917535413,21.5014243449161,10.898610364216,2.16350720923568,"Established","D-10-71",2010,"F",408748,6862661
"334",167,167,0.169287343337362,0.170125941177515,0.193123360519217,0.177408785432861,0.220337129252912,0.218651625948816,0.210960873714662,0.200301069363864,0.177957226851232,0.176012982890816,0.177410083720225,0.172491663390663,0.166632850531037,0.152211892745811,1.59545814150167,0.00192546499986578,0.00459280817768632,0.670260070429781,0.163268945934454,0.0376146942142149,0.122734223342225,0.460420155614614,0.174332370246354,0.478245177000692,552.14461293837,2.69556723928709,24.8543602094694,11.0285585334955,1.94530154087323,"Natal","D-10-71",2010,"F",395268,6814505
"335",168,168,0.198492475183987,0.203979055656508,0.200490846531358,0.186522845363525,0.171275624798725,0.14578782708843,0.165869246294749,0.160514003325966,0.161043883519967,0.238311891435337,0.228438330488749,0.245049141794566,0.270228282849432,0.339580879632583,21.3927924980785,0.0125416583107778,0.0460843208712707,0.796617697999523,0.0663509657438977,0.0780390052926683,0.000110205878796569,1.00817333853245,0.331461788767108,0.0129815397408445,201.362790649564,2.52817487057895,24.7957894441485,41.200130259213,2.17294870729364,"Established","M-05-09",2004,"F",441368,6621347
"336",168,168,0.203514798023105,0.207488076902078,0.196417464974083,0.196301973738728,0.177134533102776,0.155752567087872,0.151696561349272,0.157817579683522,0.153021145194784,0.244675259166289,0.241100441508392,0.240862116969716,0.256257043563403,0.333912356905352,9.81438275896279,0.0112832575143718,0.0206746991539653,0.812708725166336,0.0719027772433066,0.083317063196919,0,1.0068772574246,0.307503867697438,0.0190695950242477,239.570211159245,2.74743037163548,26.9276118714225,36.6850485944365,2.17943465318068,"Natal","M-05-09",2004,"F",443491,6631585
"337",169,169,0.164333963460293,0.164447213062706,0.185938565616964,0.172223674976779,0.212823642991605,0.21136314005901,0.203542359335216,0.191111036050808,0.16946943455855,0.165990428681054,0.167596574883415,0.163583584362644,0.158824023052547,0.143261775481978,1.52931303881111,0.00195621706835007,0.00420373231332674,0.66035981382439,0.160183011948976,0.0341149115521804,0.139522561255844,0.453419824735212,0.168220324358758,0.47904282278966,565.953411342042,2.74630755152023,25.3004131143619,10.7007672016907,1.95149910191076,"Established","M-09-06",2007,"F",394575,6816251
"338",169,169,0.485305304152272,0.507688804479168,0.524863848731891,0.521145160544772,0.51275990339038,0.46409171433972,0.433043040652647,0.438495821175868,0.412716757673326,0.44328762118685,0.446368406371142,0.481751591822362,0.489393471999645,0.429065388586773,9.80992875988273,0.00252062138253686,0.014281317075124,0.874671486128369,0.0450639745504722,0.0632994819487595,0,1.00632447583642,0.281056365534387,0.0335762788294703,298.664832032778,3.81947892377235,36.6013553602029,14.9999963480846,1.51420972562175,"Natal","M-09-06",2007,"F",364184,6675343
"339",170,170,0.224564238790036,0.222743634598312,0.206738634998835,0.181948885592694,0.199186507737154,0.185622971348866,0.161658072337931,0.133390291414251,0.118641579018363,0.104926806457286,0.111210475013866,0.0665368414125799,0.0857483388465145,0.0951614759076524,4.69674355213698,0.00530213585325281,0.0105478980767709,0.813075686460571,0.0932566335004061,0.0775179540699443,0,0.952971567034721,0.161633525647361,0.894064950938298,302.045443107871,2.27232857373216,21.8768641007769,15.8366630538107,2.0406391280805,"Established","D-04-13",2000,"F",511014,6795239
"340",170,170,0.158021125853,0.162991989083,0.164169298796,0.154620008906,0.192817168466,0.19948859017,0.200404275502,0.176073208111,0.179866761629,0.184052751718,0.195956661033,0.198834529219,0.21819473338,0.35,1.57035599902873,0.00379592027035037,0.0117439253151753,0.791590391006618,0.110807649673433,0.0819866699132392,2.52032412431061e-05,0.827218619162191,0.245742094848547,0.456669688788541,418.181444294869,3.04186682741697,29.5789469727234,14.5936355401785,1.83389444196426,"Natal","D-04-13",2000,"F",483751,6941388
"341",171,171,0.517473186092822,0.512243450617145,0.48443666290748,0.411389595962463,0.347816876206441,0.352069069282991,0.286164773594486,0.258191930981242,0.230691067392805,0.220128458848127,0.219824934250783,0.197161388431436,0.216332155021655,0.243868231037538,8.72598839052348,0.0217155065728028,0.102763222407569,0.771976144190029,0.038635154246047,0.0650293357555497,0,1.0605028013587,0.31795134070908,0.61558455937681,202.976561092559,2.63298543478972,25.6231577875536,91.6226102312425,2.10801832550575,"Established","M-09-14",2007,"F",560631,6814923
