"","ID","ID_rand","Category","ID_individual","Sex","x","y","Year","human_1","humanlands_1","agri_1","forest_1","mires_1","water_1","mountains_1","roadens_sec1","mainroad_1","bear_1","dem_1","slope_1","roughness_1","roadbuild_1","moose_dens","wolf_density","Clusters"
"2009",155,7,"Available","G5-09","F",333521.347416836,6503820.454585,2007,20.7175913026,0.00934798288709697,0.302255270910315,0.593702447641726,0.0481169279988135,0.0466488947459375,0,0.928372309657041,0.454730432572736,2.89415102582959e-05,119.382266161364,1.5281292977412,16.3533038620551,71.6230429086961,0.10773083619172,3,4
"2010",155,8,"Available","G5-09","F",322128.822999864,6538636.13142992,2007,9.30154208529816,0.00489582904112256,0.0719952151019523,0.737917350297995,0.0696451620318452,0.11502364148807,0,0.848870157485212,0.351716206864645,0.000165367447582196,160.619456625819,2.03251479366369,20.8526478054564,38.36550494334,0.233473532378531,3,1
"2011",155,9,"Available","G5-09","F",308927.760944821,6512138.09679056,2007,12.7930404595192,0.00287502588548103,0.175616245201906,0.721458404961008,0.0471371902727317,0.0530158286372247,0,0.962184082269669,0.416638731920707,3.47370389333072e-05,124.732142184219,2.01369186090101,20.7835026579677,38.4125898043184,0.158674344863336,3,1
"2012",155,10,"Available","G5-09","F",338720.355223483,6518488.56335993,2007,12.586069876962,0.0120872986546796,0.172014607336548,0.678109635105678,0.049039538903027,0.0884917299312131,0,0.935637900618876,0.436439940015618,7.06675030105597e-05,137.176260243857,1.82759865687718,19.2538887938692,58.6979036954173,0.173471809133587,1,1
"2013",155,11,"Available","G5-09","F",293727.788233297,6528250.84547299,2007,20.1878703463892,0.0136438323927512,0.146346922464087,0.693454790434701,0.0409326617716228,0.105110066280336,0,0.738227776682365,0.398269681542044,6.5752386562185e-05,87.3018159820099,1.99511379020269,20.0447103322273,63.5629841238235,0.172625785858291,4,1
"2014",155,NA,"Established","G5-09","F",315960,6514531,2007,11.6510050434215,0.00217918107630297,0.210306180599254,0.683043975404222,0.0618558246213324,0.0424214568366276,0,0.946342492115474,0.40746995552086,4.2237378902335e-05,134.322797783873,1.86201935624474,19.2885727671312,40.6565420762392,0.158398072474549,3,1
"2015",155,NA,"Natal","G5-09","F",309451,6532743,2007,16.7447100144102,0.0051519903440097,0.086453253134186,0.726591573885486,0.0902258094293457,0.091273987201922,0,0.814182036207291,0.369225856534509,0.000100031336851618,151.880261483789,2.03738909703541,20.0621788703405,37.3126983948345,0.209895658572834,3,1
"2016",156,1,"Available","M-03-07","F",331844.698729121,6555867.2190653,2001,7.708155079725,0.00620707783506499,0.0419149619165134,0.741419794867639,0.00856018490709053,0.201581862405888,0,0.799748154373856,0.334263357908322,0.000443343313491065,142.673757962922,2.49944712398417,25.5672384062667,55.1345146772025,0.249943692061822,1,1
"2017",156,2,"Available","M-03-07","F",302001.436768228,6619028.97413133,2001,26.0406753124942,0.00480870031480004,0.187842996863577,0.676574573260029,0.0316072265401229,0.0759055113206323,0.0236089574970504,0.530422763315265,0.503327419682115,0.00287182930660904,187.65454733589,2.76703774424319,27.3503484308404,18.0257458019579,0.407218305074116,0,1
"2018",156,3,"Available","M-03-07","F",288459.092576641,6711312.86598657,2001,26.161369257495,0.00161520058721964,0.0378632899920996,0.77115762790884,0.0374976486790054,0.135613046971494,0.0166034065958184,0.676901731139911,0.353362261452184,0.0232408622995175,384.839441289496,5.68340492855879,54.6054322198714,17.8195763614037,0.375240973467663,2,3
"2019",156,4,"Available","M-03-07","F",288142.955375036,6765681.785623,2001,37.3785636638462,0.00766446958722642,0.10073356650443,0.678678480518084,0.150535059476723,0.0219324347548528,0.0407712749622086,0.63844772290191,0.468884511255159,0.0530389979354806,476.61541468697,3.46769587311924,32.3479075676883,21.6697118321353,0.348404244660502,1,3
"2020",156,5,"Available","M-03-07","F",332468.532861836,6586280.13610776,2001,6.24019804210939,0.00783296847797353,0.0710175889790359,0.721181984076493,0.021867740550165,0.178031944762665,0,0.7294005623203,0.303282053918918,0.00161275751573854,157.700166630766,2.30010467655294,22.6580068701025,59.2975542958642,0.428146898245931,1,1
"2021",156,6,"Available","M-03-07","F",297158.60482008,6595320.61401545,2001,31.4409349538859,0.00591734727443597,0.261981069225555,0.640607702653307,0.0219591238889537,0.046644101025307,0.0239889786787182,0.56212228674109,0.529243211515327,0.00115495389759823,143.830625577474,2.19337477852449,21.8728643943965,16.9116648836676,0.388486335551077,2,1
"2022",156,7,"Available","M-03-07","F",304307.346989918,6548854.97787455,2001,27.0582008861658,0.0120367157423796,0.0712258333614207,0.740460663915563,0.0601283441152051,0.115624466347047,0.000397403878586859,0.658649698995928,0.370132868000073,0.000199106723703226,141.197219600606,2.41396701931362,23.6734757115197,22.2859948648977,0.266362762062617,0,1
"2023",156,8,"Available","M-03-07","F",298897.580757783,6718940.55129035,2001,25.960277589225,0.000891646213070479,0.0405495965638603,0.779264690039229,0.04914939103181,0.118221346112651,0.0122712715212674,0.652276897871936,0.365842101992046,0.0315879935114027,346.392121839296,4.41256182474966,42.5652149524414,15.4179772140518,0.406467892460581,1,3
"2024",156,9,"Available","M-03-07","F",286128.73759397,6809259.98745802,2001,4.18689201902273,0.000112895374475071,0.00750438000756243,0.602949994979591,0.188353034923703,0.0132637310896381,0.188246965728786,0.458903645739751,0.0772696675189569,0.0698972337340432,745.442061996223,5.17594221048671,48.8301489825135,11.1817842691783,0.282863062448337,1,6
"2025",156,10,"Available","M-03-07","F",310657.900722458,6676437.13564188,2001,26.4639137078207,0.00488387274779943,0.214867770156402,0.689103589202036,0.0455978760771469,0.0362246405384899,0.00984931791430321,0.638977310765329,0.511312239776478,0.0159894693704742,222.454030894733,2.84801413785842,27.6828658801875,20.0289979270474,0.414194428789959,1,1
"2026",156,11,"Available","M-03-07","F",311184.200370273,6814187.7628165,2001,1.97784851985311,0,0.00701988083050157,0.791042187314911,0.130698806331526,0.0313883945450134,0.0402939345907929,0.557870040267497,0.114775437891476,0.106594470079995,575.73030432546,5.35515978211848,50.6447861558735,4.67688243973894,0.286145890076742,1,6
"2027",156,NA,"Established","M-03-07","F",313223,6544700,2001,18.1080084453963,0.00462818469823124,0.0441341198314881,0.754137818081365,0.0714773581925657,0.125283724730844,4.48474822453568e-05,0.730517557824012,0.336399981343723,0.000192750807703552,162.999833852959,2.12860044659496,21.2489571739382,34.0496178368486,0.263864379673511,1,1
