MALES	ID	Birth_territory	Y_birth	X_birth	Established_territory	Y_Established	X_Established	Year establishment	First Winter	Secondary dispersal	
F	G1-08	DE4	6532743	309451	DE5	6543143	308855	2007	2007/08	Yes	
F	G80-11	Gim	6734214	522414	Dig	6731255	482104	2011	2011/12	No	
F	M-02-09	arj	6644385	318127	Dju1	6623183	328167	2002	2002/03	No	
F	G12-10	Gal	6823606	551330	Dju3	6611083	315300	2010	2010/11	No	
F	G30-12	Sil1	6783805	502001.75	Drag	6764730	491082	2011	2011/12	No	
F	G1-12	Kors2	6734796	564432	Drev	6862840	360166	2011	2011/12	No	
F	G20-07	Gra1	6675343	364184	Eds	6543788	355993	2006	2006/07	No	
F	M-09-02	Gal	6823606	551330	Eid	6655675	327111	2010	2010/11	No	
F	M-10-08	Lok1	6609179	475183	Far	6633611	549005	2009	2009/10	No	
F	G17-13	Gos	6736421	462200	Fna	6765558	411726	2011	2011/12	No	
F	D-10-71	Ful1	6814505	395268	Fja	6862661	408748	2010	2010/11	No	
F	M-05-09	Fil	6631585	443491	Fh	6621347	441368	2004	2004/05	No	
F	M-09-06	Gra1	6675343	364184	Ful1	6816251	394575	2007	2007/08	Yes	
F	D-04-13	Gh	6941388	483751	Fur	6795239	511014	2000	2000/01	No	
F	M-09-14	Vox	6784708	535239	Gal	6814923	560631	2007	2007/08	No	
F	G6-11	Kyn2	6747286	337318	Gas	6629941	466681	2009	2010/11	No	
F	G54-10	Sil1	6783805	502001.75	Gim	6722345	515902	2009	2009/10	No	
F	M-02-12	arj	6644385	318127	Gla1	6586523	358007	1999	1999/00	No	
F	G7-09	Eds	6548409	353354	Gla2	6588222	356011	2008	2008/09	No	
F	G56-11	Gla2	6594045	352285	Gla3	6597461	344965	2011	2011/12	No	
F	G77-11	Ful1	6814505	395268	Gora	6793068	395259	2011	2011/12	No	
F	G31-06	Dju1	6622750	328381	Gos	6734728	462357	2006	2006/07	No	
F	M-01-10	Kop1	6851186	290471	Gra	6836787	306080	2000	2000/01	No	
F	M-00-04	Hag1	6672516	445189	Gran	6689447	495485	1999	1999/00	No	
F	M-06-10	Gra	6818716	307202	Gra1	6669893	370196	2004	2004/05	Yes	
F	M-02-03	Hag2	6671494	446358	Grav	6652317	482008	1999	1999/00	Yes	
F	D-08-04	Kyn1	6748162	338976	Hack	6995396	428103	2007	2007/08	No	
F	M-02-06	Ny5	6731608	366248	Hlg1	6686872	418194	2003	2003/04	Yes	
F	M-01-04	Hag1	6672516	445189	Has1	6540331	471938	1999	1999/00	Yes	
F	D-06-16	Has1	6544672	470220	Has2	6547018	469994	2001	2002/03	No	
F	G37-07	Has2	6544672	470220	Has3	6543709	463234	2006	2007/08	Yes	
F	G22-09	app	6704600	427402	Hast	6736466	394465	2010	2010/11	No	
F	G34-09	Skra1	6859976	525593	Hav1	6903708	516650	2009	2009/10	Yes	
F	M-10-06	Klot	6640328	519680	Hed1	6617849	527286	2009	2009/10	Yes	
F	D-04-08	Fur	6789434	511936	Henv	6962869	419276	2003	2003/04	No	
F	D-09-23	DE4	6532743	309451	Her	6490137	311983	2008	2008/09	No	
F	D-10-74	Ama1	6669074	449985	Hom1	6787082	520804	2010	2010/11	No	
F	G1-10	Lang3	6734214	522414	Hom2	6762458	528443	2011	2011/12	No	
F	M-04-05	Fil	6631585	443491	Jang1	6657656	407461	2003	2003/04	No	
F	M-06-05	Ny5	6731608	366248	Jang3	6664760	408281	2005	2005/06	Yes	
F	D-03-15	Gran	6655473	482882	Julu1	6776320	314914	2002	2002/03	No	
F	M-03-05	Ny5	6731608	366248	Julu3	6784063	316394	2004	2005/06	Yes	
F	G16-12	Kyn2	6747286	337318	Julu8	6797693	315469	2010	2010/11	No	
F	M-05-10	Tyn	6681820	432255	Juv	6735554	354921	2003	2003/04	Yes	
F	G7-03	Ock1	6769118	575138	Kil1	6585675	486261	2002	2002/03	No	
F	M-05-07	Utt	6615969	534430	Klot	6642508	520459	2007	2007/08	No	
F	G59-11	Far	6627905	550621	Kol	6607905	556924	2011	2011/12	No	
F	M-04-03	Kop2	6847000	290734	Kop3	6847041	287432	2003	2003/04	No	
F	G12-08	Lok1	6609179	475183	Kop4	6841792	289525	2009	2009/10	No	
F	M-05-11	Amu1	6775215	537919	Kors1	6715466	560363	2006	2006/07	Yes	
F	G15-05	Gla1	6581608	356822	Krp1	6501018	331587	2002	2002/03	Yes	
F	G3-09	Krp2	6479551	332283	Krp3	6505570	333542	2007	2007/08	Yes	
F	M-07-04	DE2	6537715	312464	Kyn1	6750307	337364	2004	2004/05	No	
F	M-07-05	Kyn1	6748162	338976	Kyn2	6741982	340701	2007	2007/08	Yes	
F	G2-11	Kyf1	6518667.75	320111.75	Kyf2	6518833	308210	2010	2010/11	No	
F	D-07-23	Amu1	6775215	537919	Lang1	6743211	527063	2005	2005/06	Yes	
F	G18-08	Sil	6783805	502001.75	Lang3	6740718	531818	2008	2008/09	Yes	
F	D-16-14	Kil1	6588351	486537	Lik	6713890	405988	2005	2005/06	No	
F	G5-07	DE3	6525059	310657	Lin	6571692	302375	2008	2008/09	No	
F	G28-06	Kil1	6588351	486537	Lok1	6596251	471099	2006	2006/07	No	
F	M-10-09	Lok1	6609179	475183	Lok2	6600736	472219	2009	2010/11	No	
F	G4-05	Julu1	6781369	315419	Lov1	6680989	473347	2004	2004/05	No	
F	G64-12	Snd2	6663996	361527	Lov4	6682623	484996	2011	2011/12	No	
F	M-02-11	arj	6644385	318127	Mang	6640166	317208	2002	2002/03	No	
F	D-11-27	Gra1	6675343	364184	Bog3	6637297	375615	2010	2010/11	No	
F	G55-12	Tra	6704467	392407	Med	6728637	365422	2011	2011/12	No	
F	G1-01	Hag2	6671494	446358	Mos	6596305	270936	1998	1998/99	No	
F	G17-05	Fil	6631585	443491	Nag1	6904654	546062	2004	2004/05	Yes	
F	D-10-67	Osd2	6838224	313338	Nip	6868367	380532	2010	2010/11	No	
F	G40-11	Lov2	6665126	464150	Nora	6609360	494512	2010	2010/11	No	
F	G21-11	Klot	6640328	519680	Norn	6668298	538640	2010	2010/11	No	
F	M-00-08	arj	6644385	318127	Ny1	6710734	378304	1999	1999/00	No	
F	G3-03	Gh	6941388	483751	Ock1	6759246	568812	2000	2000/01	No	
F	D-10-22	Amu1	6775215	537919	Ock2	6772396	580145	2007	2007/08	Yes	
F	M-09-19	Julu3	6781369	315419	Osd1	6830685	314589	2006	2006/07	Yes	
F	G103-10	Kyn2	6747286	337318	ohog	6915905	492346	2010	2010/11	No	
F	D-11-32	Sil	6783805	502001.75	Rah	6740573	603049	2010	2010/11	No	
F	M-10-03	Lok1	6609179	475183	Ria	6611854	695705	2009	2009/10	No	
F	M-06-07	Ny5	6731608	366248	Rot1	6712617	355717	2003	2003/04	No	
F	G42-10	Ny5	6731608	366248	Rot2	6716450	358058	2008	2006/07	No	
F	D-09-22	Gra1	6675343	364184	Sand1	6635459	441740	2007	2007/08	No	
F	G12-09	Ack	6678775	425503	Sand2	6639312	439931	2008	2009/10	No	
F	G4-08	Kyn1	6748162	338976	Sang	6727035	482567	2007	2007/08	No	
F	D-10-20	Fur	6789434	511936	Sil1	6774497	500318	2004	2004/05	No	
F	M-12-04	Amu2	6776631	547568	Sil2	6791286	500192	2009	2010/11	No	
F	M-09-15	Kors1	6720272	562343	Sjo	6777164	565519	2009	2010/11	No	
F	G10-07	Vox	6784708	535239	Skra1	6852103	524978	2006	2006/07	No	
F	G18-10	Lov2	6665126	464150	Skg	6646543	375540	2009	2009/10	No	
F	G42-11	Sil1	6783805	502001.75	Skl	6639925	566065	2010	2010/11	No	
F	G70-10	Lov2	6665126	464150	Sle	6804507	334223	2009	2009/10	No	
F	M-02-07	Ny5	6731608	366248	Sta	6616234	482580	2002	2002/03	No	
F	D-10-35	Ny5	6731608	366248	Sto	6682855	405840	2008	2008/09	No	
F	G106-11	DE5	6544572	308815	StLe	6573049	317746	2010	2010/11	No	
F	G3-04	Fil	6631585	443491	Sto	6682855	405840	2001	2001/02	No	
F	D-06-13	Fur	6789434	511936	Svbo	6785651	566802	2004	2004/05	No	
F	M-09-09	Ful1	6814505	395268	Tand	6840055	461438	2009	2009/10	No	
